EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7437;361;264520;0;4836;72835700;61310600;11500400;7738510;0;255564;31;2180700000;0;39868000;8835;1395000;314,417;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3126;126;28267;0;1758;27329700;24160900;4521460;2406530;0;100477;13;218476000;0;13587600;3536;585000;125,7;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7829;282;166621;0;1309;69650400;60001500;12569000;6687130;0;229920;30;1276980000;0;10032200;9088;1640000;283,985;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7557;207;133078;0;13198;55516000;50760400;8765680;5550950;0;194793;29;893885000;0;88651000;8265;1305000;239,267;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;18536;560;329503;0;20053;134241000;121856000;23469200;13265000;0;473328;72;2166150000;0;131828000;20420;3570000;593,097;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2936;102;32265;0;0;25227500;22692300;4173660;2291680;0;92748;12;249376000;0;0;3264;540000;117,052;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;8740;333;156407;0;14849;62998700;58706600;9974740;6433900;0;221661;33;1050590000;0;99740700;9379;1485000;276,983;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;7731;427;206908;0;2926;72835700;63734400;11500400;7465950;0;255564;31;1705750000;0;24121900;8835;1395000;318,999;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;0;7664;1;0;0;0;0;0;7,95;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;8375;364;118659;0;1316;71735000;64186000;12913800;6696210;0;237584;31;909402000;0;10085800;9360;1685000;298,215;0
